type;id;lat;lon;tags.amenity;tags.brand;tags.fuel:diesel;tags.operator;tags.wheelchair;tags.brand:wikidata;tags.name;tags.opening_hours;tags.brand:wikipedia;tags.compressed_air;tags.fuel:octane_95;tags.fuel:octane_98;tags.check_date;tags.created_by;tags.addr:city;tags.addr:housenumber;tags.addr:postcode;tags.addr:street;tags.branch;tags.payment:cash;tags.payment:credit_cards;tags.payment:debit_cards;tags.self_service;tags.website;tags.payment:cards;tags.fuel:octane_100;tags.phone;tags.alt_name;tags.fuel:biogas;tags.fuel:cng;tags.fuel:HGV_diesel;tags.shop;tags.addr:country;tags.payment:american_express;tags.payment:maestro;tags.payment:mastercard;tags.payment:notes;tags.payment:visa;tags.maxheight;tags.payment:coins;tags.payment:contactless;tags.payment:dkv;tags.payment:postfinance_card;tags.payment:reka;tags.payment:routex;tags.payment:v_pay;tags.payment:visa_electron;tags.fuel:1_25;tags.check_date:opening_hours;tags.fuel:1_50;tags.fuel:GTL_diesel;tags.fuel:biodiesel;tags.fuel:e10;tags.fuel:e85;tags.fuel:electricity;tags.fuel:lpg;tags.fuel:octane_91;tags.opening_hours:signed;tags.fixme;tags.fuel:GTL_diesel:name;tags.fuel:cng:maxheight;tags.fuel:octane_95:name;tags.fuel:octane_98:name;tags.fuel:others;tags.automated;tags.tenant;tags.fuel:adblue;tags.level;tags.capacity;tags.cash_withdrawal;tags.cash_withdrawal:fee;tags.cash_withdrawal:purchase_required;tags.cash_withdrawal:type;tags.source;tags.currency:CHF;tags.currency:EUR;tags.payment:avia_card;tags.mapillary;tags.addr:place;tags.access;tags.contact:phone;tags.name:de;tags.vending;tags.vending_machine;tags.wheelchair:description;tags.car_wash;tags.designation;tags.layer;tags.contact:addr;tags.survey:date;tags.fuel:gasoline;tags.ref;tags.check_date:compressed_air;tags.contact:email;tags.contact:fax;tags.contact:website;tags.seamark:small_craft_facility:category;tags.seamark:type;tags.payment:bebeco;tags.url;tags.old_name;tags.ele;tags.payment:twint;tags.toilets:wheelchair;tags.payment:diners_club_international;tags.is_in;tags.tourism;tags.payment:movieri;tags.note;tags.addr:housename;tags.internet_access;tags.name:fr;tags.fax;tags.ethanol;tags.toilets;tags.addr:state;tags.name:en;tags.payment:others;tags.hgv;tags.not:brand:wikidata;tags.payment:reka_card;tags.payment:uta;tags.workshop;tags.description;tags.delivery:covid19;tags.takeaway:covid19;tags.email;tags.fuel:98E5;tags.fuel:gasoil;tags.fuel:2-cycle_mix;tags.atm;tags.payment:account_cards;tags.car;tags.seamark:information;tags.payment:postcard;tags.payment:app;tags.fuel:V-Power;tags.fuel:super;tags.building;tags.source:addr;tags.payment:myone;tags.name:it;tags.repair;tags.sale;tags.payment:moveri_card;tags.payment:shell;tags.payment:vpay;tags.fuel:propane;tags.internet_access:fee;tags.compressed_air:fee;tags.compressed_air:valves;tags.service:bicycle:pump;tags.fuel:octane_80;tags.payment:diners_club;tags.fuel:octane_92;tags.addr:street:fr;tags.addr:full;tags.waterway;tags.payment:post.ch;tags.addr:suburb;tags.addr:street:de;tags.entrance;tags.fuel:adblue:canister;tags.fuel:100LL;tags.fuel:JetA1;tags.payment:avia;tags.payment:socar_card;tags.payment:tamoil_card;tags.fuel:LH2;tags.fuel:v-power_diesel;tags.fuel:benzin;tags.fee;tags.name:signed;tags.noname;tags.fuel;tags.fuel:air;tags.payment:cryptocurrencies;tags.payment:electronic_purses;tags.fuel:Shell_V-Power;tags.payment:post_finance;tags.covered;tags.payment:girocard;tags.self_checkout;tags.fuel:diesel_plus;tags.construction;tags.dog;tags.payment:hubrol_card;tags.payment:ec_cards;tags.fuel:lng;tags.fuel:petrol;tags.outdoor_seating;tags.operator:wikidata;tags.maxheight:signed;tags.currency:others;tags.payment:euroshell;tags.fuel:h35;tags.fuel:h70
node;29885121;47.6773289;8.6005845;fuel;;;;;;Wegmüller;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;30011079;47.714297;8.5161525;fuel;;;;;;Bär - Benzin und Diesel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;33127154;47.1377584;9.0509476;fuel;BP;;;;;;;;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;33157581;47.1554377;9.038236;fuel;BP;;;;Q152057;BP;;en:BP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;33593043;47.1327975;9.0875692;fuel;;;;;;Garage Jörg AG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;34026947;47.1782564;9.0513173;fuel;BP;;;;Q152057;BP;;en:BP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;34026948;47.1871045;9.0496605;fuel;Spurt;yes;;;;;;;;yes;yes;;;Schänis-Rufi;;8723;Gasterstrasse;;;;;yes;http://www.waldburger-oel.ch/;;;+41 71 274 30 83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;34026949;47.2112768;9.0283638;fuel;;;;;;Agrola;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;34078845;47.4956958;8.7129812;fuel;Shell;yes;Migrol;;Q154950;Migrol Service Zürcherstrasse;;;yes;yes;;;;Winterthur;48;8406;Zürcherstrasse;Winterthur Zürcherstrasse;;;;;https://www.migrol.ch/de/;;yes;;Migrol Zürcherstrasse;yes;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;35684995;47.2254301;8.9761652;fuel;;yes;Agrola;no;;;24/7;;;yes;yes;;;;;;;;;;;yes;;;;;;;;yes;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;36724756;47.2276132;8.9725233;fuel;;;BP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;47744371;47.3995257;8.4973287;fuel;Coop;;Coop Mineraloel;;;Coop Tankstelle Höngg;Mo-Su 06:00-23:00;;;;;2024-09-02;;Zürich;146;8049;Am Wasser;Zürich Höngg;;;;;;;;;;;;;convenience;CH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;52741787;47.3815928;8.5095448;fuel;Shell;yes;Shell (Switzerland);yes;Q154950;Shell Hardau;;;;yes;;;;Zürich;73;8004;Bullingerstrasse;Zürich Hardau;;;;;https://find.shell.com/ch/fuel/10023346-shell-hardau/de_CH;;yes;;;;;;;CH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
